test accounts (by provider):, buzon.uy, ik.me, gmx.de, posteo.de, mailo.com, mail.ru, outlook.com, web.de, hotmail.com, aol.com, gmail.com, zohomail.eu, mail.de, yahoo.com, fastmail.com, e.email, icloud.com, yandex.ru, disroot.org, mailbox.org, riseup.net
added to group (in seconds):, 22.71335005760193, 12.17015790939331, 20.39069437980652, 16.68188786506653, 26.418624877929688, timeout, 14.536632061004639, 20.680593729019165, timeout, 3205.4494807720184, 17.599477291107178, 15.237287282943726, 12.662922382354736, 3202.8745691776276, 16.667572498321533, 13.984723091125488, 23.302250385284424, 31.949254989624023, 14.721593856811523, 17.30004620552063, 21.15406370162964
received by buzon.uy (in seconds):, self, timeout, 35.50287675857544, 24.306375980377197, 125.9359781742096, timeout, 15.735296964645386, timeout, timeout, timeout, 16.32506561279297, 23.328654050827026, 12.410479307174683, 19.01425552368164, 24.377233028411865, timeout, 20.42341375350952, 562.6075024604797, 20.457335948944092, 20.95370650291443, 130.82916593551636
received by ik.me (in seconds):, 13.537899494171143, self, 5.140373468399048, 6.977349281311035, 147.4923436641693, timeout, 5.7695112228393555, timeout, timeout, 7.428224802017212, 4.993260383605957, 29.657914400100708, 8.106528520584106, 8.058546304702759, 9.343695640563965, timeout, 13.335307359695435, 552.1149833202362, 6.4384636878967285, 12.085133790969849, 12.214234352111816
received by gmx.de (in seconds):, 9.077572107315063, timeout, self, 14.896446943283081, 138.96294474601746, timeout, 6.012152433395386, timeout, timeout, 16.206950902938843, 13.924179792404175, 78.74656105041504, 8.197021245956421, 8.142949104309082, 14.977920055389404, timeout, 19.22680377960205, 565.3207681179047, 5.833898067474365, 14.409017562866211, 21.335455179214478
received by posteo.de (in seconds):, 13.354212760925293, timeout, 16.202541828155518, self, 564.83873295784, timeout, 5.990259647369385, timeout, timeout, 7.6720147132873535, 4.891833066940308, 73.69588375091553, 8.41372036933899, timeout, 17.037543773651123, timeout, 13.889806747436523, 560.5506777763367, 6.0951149463653564, 14.719772577285767, 22.019235134124756
received by mailo.com (in seconds):, 65.60152053833008, timeout, 68.06053280830383, 9.94058895111084, self, timeout, 12.010278224945068, timeout, timeout, 17.816951036453247, 70.80835771560669, 75.45101714134216, 13.921886682510376, 20.30231547355652, 10.001662492752075, timeout, 65.22807335853577, 1503.560572385788, 11.836250305175781, 71.03813576698303, 67.34180235862732
received by mail.ru (in seconds):, timeout, timeout, timeout, timeout, timeout, self, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout
received by outlook.com (in seconds):, timeout, timeout, 14.267479658126831, 11.284579277038574, 130.01352739334106, timeout, self, timeout, timeout, 11.733029842376709, 6.366544008255005, 18.286209106445312, 10.789820194244385, 14.359390258789062, 8.008926153182983, timeout, 14.940642595291138, 554.5611436367035, 8.868640422821045, 15.088813781738281, 11.18847370147705
received by web.de (in seconds):, 9.110696792602539, timeout, 22.645748376846313, 14.923955202102661, 168.87100481987, timeout, 6.310031414031982, self, timeout, 15.801623106002808, 13.942614555358887, 38.547412395477295, 8.233164072036743, 7.684980630874634, 15.008764266967773, timeout, 19.818188190460205, 555.0581986904144, 6.140610218048096, 14.422884941101074, 11.208422899246216
received by hotmail.com (in seconds):, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, self, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout
